Commentary,MatchReport
"Attempt missed. João Gomes (Wolverhampton Wanderers) header from the centre of the box is too high. Assisted by Rayan Aït-Nouri with a cross following a corner. Substitution Jean-Ricner Bellegarde (Wolverhampton Wanderers) wins a free kick in the attacking half. Foul by Virgil van Dijk (Liverpool). Yellow card Attempt missed. Marshall Munetsi (Wolverhampton Wanderers) right footed shot from outside the box is high and wide to the right following a set piece situation. Offside, Liverpool. Alexis Mac Allister is caught offside. Foul by Mohamed Salah (Liverpool). Rayan Aït-Nouri (Wolverhampton Wanderers) wins a free kick on the left wing. Foul by Wataru Endo (Liverpool). Marshall Munetsi (Wolverhampton Wanderers) wins a free kick in the attacking half. Mohamed Salah (Liverpool) wins a free kick in the defensive half. Foul by Nélson Semedo (Wolverhampton Wanderers). Offside, Wolverhampton Wanderers. Marshall Munetsi is caught offside. Mohamed Salah (Liverpool) wins a free kick on the right wing. Foul by Rayan Aït-Nouri (Wolverhampton Wanderers). Substitution Foul by Mohamed Salah (Liverpool). Jean-Ricner Bellegarde (Wolverhampton Wanderers) wins a free kick in the defensive half. Foul by Jean-Ricner Bellegarde (Wolverhampton Wanderers). Wataru Endo (Liverpool) wins a free kick in the defensive half. Fourth official has announced 6 minutes of added time. Matheus Cunha (Wolverhampton Wanderers) wins a free kick in the attacking half. Foul by Wataru Endo (Liverpool). Substitution Attempt blocked. Tommy Doyle (Wolverhampton Wanderers) right footed shot from outside the box is blocked. Corner, Wolverhampton Wanderers. Conceded by Virgil van Dijk. Alexis Mac Allister (Liverpool) wins a free kick in the attacking half. Foul by Marshall Munetsi (Wolverhampton Wanderers). Foul by Pedro Lima (Wolverhampton Wanderers). Wataru Endo (Liverpool) wins a free kick in the defensive half. Second Half ends, Liverpool 2, Wolverhampton Wanderers 1.","Liverpool lead Wolverhampton Wanderers 2-1 at the end of the second half. The half saw multiple fouls and substitutions, with Jean-Ricner Bellegarde winning a free kick and receiving one.  Virgil van Dijk earned a yellow card for a foul, while  Marshall Munetsi had an offside call against him. Six minutes of added time were played."
"First Half begins. Foul by Mathys Tel (Tottenham Hotspur). Matthijs de Ligt (Manchester United) wins a free kick in the defensive half. Offside, Manchester United. Joshua Zirkzee is caught offside. James Maddison (Tottenham Hotspur) wins a free kick in the attacking half. Foul by Noussair Mazraoui (Manchester United). Foul by Mathys Tel (Tottenham Hotspur). Harry Maguire (Manchester United) wins a free kick in the defensive half. Attempt saved. Rasmus Højlund (Manchester United) left footed shot from the right side of the box is saved in the centre of the goal. Assisted by Harry Maguire. Attempt saved. Alejandro Garnacho (Manchester United) right footed shot from the left side of the box is saved in the top right corner. Assisted by Matthijs de Ligt. Attempt missed. Diogo Dalot (Manchester United) right footed shot from the right side of the six yard box misses to the left. Corner, Manchester United. Conceded by Ben Davies. Attempt missed. Patrick Dorgu (Manchester United) left footed shot from the left side of the box is too high. Assisted by Bruno Fernandes with a cross following a corner. Attempt missed. Son Heung-Min (Tottenham Hotspur) left footed shot from the left side of the box misses to the right. Assisted by Rodrigo Bentancur with a cross. Attempt saved. Lucas Bergvall (Tottenham Hotspur) left footed shot from the centre of the box is saved in the centre of the goal. GOAL! Foul by James Maddison (Tottenham Hotspur). Bruno Fernandes (Manchester United) wins a free kick in the defensive half. Attempt blocked. Dejan Kulusevski (Tottenham Hotspur) left footed shot from the centre of the box is blocked. Assisted by Mathys Tel. Foul by James Maddison (Tottenham Hotspur). Joshua Zirkzee (Manchester United) wins a free kick in the defensive half. Offside, Manchester United. Alejandro Garnacho is caught offside. Kevin Danso (Tottenham Hotspur) wins a free kick on the right wing. Foul by Rasmus Højlund (Manchester United). James Maddison (Tottenham Hotspur) wins a free kick in the attacking half. Foul by Noussair Mazraoui (Manchester United). Attempt missed. Joshua Zirkzee (Manchester United) right footed shot from outside the box is close, but misses to the right. Assisted by Patrick Dorgu. Attempt missed. Alejandro Garnacho (Manchester United) right footed shot from the centre of the box is too high. Assisted by Bruno Fernandes.","The first half saw Manchester United dominate possession with several shots on target saved, including efforts from Højlund and Garnacho. Bruno Fernandes scored following a free kick earned by a Manchester United player. Tottenham Hotspur also had saved attempts from Bergvall and missed opportunities from Son."
"Attempt blocked. Bruno Fernandes (Manchester United) right footed shot from outside the box is blocked. Assisted by Alejandro Garnacho. Mathys Tel (Tottenham Hotspur) wins a free kick in the defensive half. Foul by Casemiro (Manchester United). Attempt saved. Mathys Tel (Tottenham Hotspur) left footed shot from the centre of the box is saved in the bottom left corner. Assisted by Son Heung-Min. Corner, Tottenham Hotspur. Conceded by André Onana. Corner, Tottenham Hotspur. Conceded by Matthijs de Ligt. Foul by Lucas Bergvall (Tottenham Hotspur). Casemiro (Manchester United) wins a free kick in the defensive half. Offside, Manchester United. Rasmus Højlund is caught offside. Foul by James Maddison (Tottenham Hotspur). Noussair Mazraoui (Manchester United) wins a free kick in the attacking half. Casemiro (Manchester United) wins a free kick in the attacking half. Foul by Ben Davies (Tottenham Hotspur). Offside, Manchester United. Matthijs de Ligt is caught offside. Djed Spence (Tottenham Hotspur) wins a free kick in the defensive half. Foul by Diogo Dalot (Manchester United). Foul by Rodrigo Bentancur (Tottenham Hotspur). Casemiro (Manchester United) wins a free kick in the attacking half. Attempt missed. Matthijs de Ligt (Manchester United) header from the centre of the box is close, but misses to the left. Assisted by Casemiro with a cross following a set piece situation. Son Heung-Min (Tottenham Hotspur) wins a free kick in the defensive half. Foul by Casemiro (Manchester United). Yellow card Djed Spence (Tottenham Hotspur) wins a free kick on the left wing. Foul by Noussair Mazraoui (Manchester United).","Tottenham Hotspur's Mathys Tel had a shot saved, assisted by Son Heung-Min, leading to two corners. Manchester United struggled with offside calls, and a Matthijs de Ligt header narrowly missed. Casemiro conceded several fouls for Manchester United, picking up a yellow card for a foul by Djed Spence."
"Foul by Pedro Porro (Tottenham Hotspur). Patrick Dorgu (Manchester United) wins a free kick in the defensive half. Attempt missed. Joshua Zirkzee (Manchester United) header from the centre of the box misses to the left. Assisted by Noussair Mazraoui with a cross. Attempt saved. Rasmus Højlund (Manchester United) right footed shot from the left side of the box is saved in the centre of the goal. Assisted by Casemiro. Corner, Manchester United. Conceded by Brennan Johnson. Attempt saved. Mathys Tel (Tottenham Hotspur) right footed shot from outside the box is saved in the bottom left corner. Assisted by Son Heung-Min. Corner, Tottenham Hotspur. Conceded by Patrick Dorgu. Substitution Substitution Attempt blocked. Yves Bissouma (Tottenham Hotspur) right footed shot from outside the box is blocked. Assisted by Pedro Porro with a cross. Attempt saved. Dejan Kulusevski (Tottenham Hotspur) left footed shot from the centre of the box is saved in the centre of the goal. Assisted by Son Heung-Min. Attempt blocked. Rasmus Højlund (Manchester United) left footed shot from the left side of the box is blocked. Assisted by Patrick Dorgu. Corner, Manchester United. Conceded by Djed Spence. Yellow card Hand ball by Dejan Kulusevski (Tottenham Hotspur). Delay in match because of an injury Brennan Johnson (Tottenham Hotspur). Delay over. They are ready to continue. Corner, Manchester United. Conceded by Djed Spence. Attempt blocked. Matthijs de Ligt (Manchester United) header from the centre of the box is blocked. Assisted by Bruno Fernandes with a cross. Attempt blocked. Casemiro (Manchester United) left footed shot from the centre of the box is blocked. Substitution Corner, Manchester United. Conceded by Pape Sarr. Attempt saved. Casemiro (Manchester United) header from the centre of the box is saved in the top centre of the goal. Assisted by Bruno Fernandes with a cross. Attempt blocked. Mathys Tel (Tottenham Hotspur) left footed shot from the left side of the box is blocked. Assisted by Pape Sarr. Pedro Porro (Tottenham Hotspur) wins a free kick on the right wing. Foul by Patrick Dorgu (Manchester United). Yellow card Fourth official has announced 3 minutes of added time. Substitution Attempt blocked. Ben Davies (Tottenham Hotspur) right footed shot from the centre of the box is blocked. Corner, Tottenham Hotspur. Conceded by Matthijs de Ligt. Second Half ends, Tottenham Hotspur 1, Manchester United 0.","The match saw several attempts on goal from both sides, with both Manchester United and Tottenham Hotspur struggling to convert. Højlund, Zirkzee, and Tel had their shots saved, while Kulusevski received a yellow card for a handball. The first half ended with Tottenham Hotspur leading 1-0."
"First Half begins. Attempt saved. Woyo Coulibaly (Leicester City) left footed shot from a difficult angle on the right is saved in the bottom right corner. Attempt saved. Jamie Vardy (Leicester City) left footed shot from the left side of the box is saved in the centre of the goal. Assisted by Bilal El Khannouss with a through ball. Yoane Wissa (Brentford) wins a free kick in the defensive half. Foul by Woyo Coulibaly (Leicester City). Offside, Brentford. Mikkel Damsgaard is caught offside. Attempt blocked. Kevin Schade (Brentford) right footed shot from the centre of the box is blocked. Assisted by Kristoffer Ajer with a cross. Wilfred Ndidi (Leicester City) wins a free kick in the defensive half. Foul by Mikkel Damsgaard (Brentford). GOAL! Attempt saved. Jamie Vardy (Leicester City) left footed shot from the left side of the box is saved in the centre of the goal. Assisted by Bilal El Khannouss. Corner, Leicester City. Conceded by Nathan Collins. Foul by Caleb Okoli (Leicester City). Yoane Wissa (Brentford) wins a free kick in the attacking half. Jordan Ayew (Leicester City) wins a free kick in the defensive half. Foul by Christian Nørgaard (Brentford). Attempt missed. Woyo Coulibaly (Leicester City) right footed shot from long range on the right misses to the left. Assisted by Boubakary Soumaré.","The first half saw Leicester City's Jamie Vardy have multiple shots saved, assisted by Bilal El Khannouss. Woyo Coulibaly also had an attempt saved for Leicester. Brentford's Kevin Schade had a shot blocked. Both teams had free kicks, but the half remained goalless despite sustained attacking efforts."
"Caleb Okoli (Leicester City) wins a free kick in the defensive half. Foul by Yoane Wissa (Brentford). GOAL! Foul by Wilfred Ndidi (Leicester City). Vitaly Janelt (Brentford) wins a free kick in the defensive half. Yellow card Corner, Brentford. Conceded by Jordan Ayew. Keane Lewis-Potter (Brentford) wins a free kick on the left wing. Foul by Bobby De Cordova-Reid (Leicester City). GOAL! Foul by Nathan Collins (Brentford). Jordan Ayew (Leicester City) wins a free kick in the attacking half. Corner, Leicester City. Conceded by Kevin Schade. Corner, Leicester City. Conceded by Kristoffer Ajer. Attempt missed. Jamie Vardy (Leicester City) left footed shot from a difficult angle on the left is too high. Assisted by Jordan Ayew with a cross. Attempt missed. Yoane Wissa (Brentford) right footed shot from the right side of the box is high and wide to the right. Assisted by Keane Lewis-Potter with a through ball. Corner, Leicester City. Conceded by Keane Lewis-Potter. Christian Nørgaard (Brentford) wins a free kick in the defensive half. Foul by Woyo Coulibaly (Leicester City). Delay in match because of an injury Christian Nørgaard (Brentford). Yellow card Delay over. They are ready to continue. Foul by Caleb Okoli (Leicester City). Yoane Wissa (Brentford) wins a free kick on the right wing.","Brentford scored a goal after a foul by Wilfred Ndidi. Later, Leicester City conceded a goal after a foul by Nathan Collins. Jamie Vardy had a missed attempt, while Yoane Wissa also missed. Caleb Okoli and Woyo Coulibaly were penalised for fouls, while Christian Nørgaard suffered an injury."
"Yellow card Kevin Schade (Brentford) hits the left post with a header from the centre of the box. Assisted by Keane Lewis-Potter with a cross following a set piece situation. Fourth official has announced 4 minutes of added time. Hand ball by Keane Lewis-Potter (Brentford). First Half ends, Leicester City 0, Brentford 3. Substitution Substitution Substitution Second Half begins Leicester City 0, Brentford 3. Corner, Leicester City. Conceded by Nathan Collins. Offside, Leicester City. Jamie Vardy is caught offside. Foul by Wout Faes (Leicester City). Kevin Schade (Brentford) wins a free kick on the left wing. Jamie Vardy (Leicester City) wins a free kick in the defensive half. Foul by Kristoffer Ajer (Brentford). Substitution Foul by Facundo Buonanotte (Leicester City). Keane Lewis-Potter (Brentford) wins a free kick in the defensive half. Corner, Brentford. Conceded by Caleb Okoli. Jamie Vardy (Leicester City) wins a free kick in the attacking half. Foul by Nathan Collins (Brentford). Foul by Stephy Mavididi (Leicester City). Kevin Schade (Brentford) wins a free kick in the defensive half. Attempt blocked. Facundo Buonanotte (Leicester City) left footed shot from the right side of the box is blocked. Assisted by Bilal El Khannouss. Kevin Schade (Brentford) wins a free kick in the defensive half. Foul by Wilfred Ndidi (Leicester City). Yellow card Attempt blocked. Bryan Mbeumo (Brentford) right footed shot from a difficult angle on the right is blocked. Assisted by Mark Flekken. Corner, Brentford. Conceded by Victor Kristiansen. Attempt saved. Yehor Yarmoliuk (Brentford) header from the right side of the six yard box is saved in the top centre of the goal. Assisted by Bryan Mbeumo with a cross. Corner, Brentford. Conceded by Wout Faes.","The first half concluded with Brentford leading Leicester City 3-0. Kevin Schade hit the post with a header, and Keane Lewis-Potter gave away a handball. The second half saw several fouls, corners, and substitutions. Key players like Jamie Vardy and Schade continued to be involved with free kicks."
"Attempt missed. Bryan Mbeumo (Brentford) right footed shot from outside the box misses to the left following a corner. Attempt blocked. Kristoffer Ajer (Brentford) header from the centre of the box is blocked. Assisted by Mikkel Damsgaard with a cross. Corner, Brentford. Conceded by Wout Faes. Substitution Substitution Foul by Yehor Yarmoliuk (Brentford). Wilfred Ndidi (Leicester City) wins a free kick in the defensive half. Attempt blocked. Yoane Wissa (Brentford) left footed shot from the centre of the box is blocked. Assisted by Fábio Carvalho. Foul by Yehor Yarmoliuk (Brentford). Boubakary Soumaré (Leicester City) wins a free kick in the defensive half. Substitution Foul by Yehor Yarmoliuk (Brentford). Jamie Vardy (Leicester City) wins a free kick on the right wing. Attempt blocked. Facundo Buonanotte (Leicester City) left footed shot from outside the box is blocked. Substitution Substitution Attempt missed. Facundo Buonanotte (Leicester City) left footed shot from outside the box is close, but misses to the left. Assisted by Boubakary Soumaré. Substitution Attempt saved. Bryan Mbeumo (Brentford) right footed shot from the right side of the six yard box is saved in the bottom right corner. Assisted by Yehor Yarmoliuk. GOAL! Fourth official has announced 3 minutes of added time. Attempt blocked. Paris Maghoma (Brentford) right footed shot from outside the box is blocked. Assisted by Keane Lewis-Potter. Corner, Brentford. Conceded by Jannik Vestergaard. Delay in match because of an injury Jannik Vestergaard (Leicester City). Delay over. They are ready to continue. Second Half ends, Leicester City 0, Brentford 4.","Brentford dominated possession, and their many attempts on goal led to a score of 4-0.  Bryan Mbeumo had a shot saved, but later netted a goal. There were several blocks and substitutions, with Leicester City failing to score. The second half concluded with Brentford's significant lead."
"First Half begins. Foul by Diogo Dalot (Manchester United). James Garner (Everton) wins a free kick on the left wing. Foul by James Tarkowski (Everton). Noussair Mazraoui (Manchester United) wins a free kick in the defensive half. Delay in match because of an injury Noussair Mazraoui (Manchester United). Delay over. They are ready to continue. Attempt saved. Beto (Everton) header from the centre of the box is saved in the centre of the goal. Assisted by Jack Harrison with a cross. Corner, Everton. Conceded by Patrick Dorgu. Foul by Rasmus Højlund (Manchester United). James Tarkowski (Everton) wins a free kick in the defensive half. Offside, Everton. Beto is caught offside. Corner, Everton. Conceded by Harry Maguire. GOAL!","The first half commenced with fouls from both Manchester United and Everton players.  Noussair Mazraoui suffered an injury, causing a delay. Beto's header was saved, but a corner was awarded to Everton. Following another corner, Everton scored a goal."
"Foul by Noussair Mazraoui (Manchester United). Beto (Everton) wins a free kick on the left wing. Corner, Manchester United. Conceded by Jake O'Brien. Foul by Manuel Ugarte (Manchester United). James Garner (Everton) wins a free kick in the defensive half. Patrick Dorgu (Manchester United) wins a free kick in the defensive half. Foul by Jesper Lindstrøm (Everton). Attempt saved. Jack Harrison (Everton) right footed shot from the centre of the box is saved in the centre of the goal. Assisted by Beto. GOAL! Delay in match because of an injury Vitalii Mykolenko (Everton). Delay over. They are ready to continue. Corner, Manchester United. Conceded by Jake O'Brien. Patrick Dorgu (Manchester United) wins a free kick on the left wing. Foul by Jesper Lindstrøm (Everton). Attempt missed. Manuel Ugarte (Manchester United) right footed shot from outside the box is close, but misses to the right. Assisted by Rasmus Højlund following a set piece situation.","Everton's Beto earned a free kick before Jack Harrison's shot was saved, assisted by Beto.  Vitalii Mykolenko sustained an injury, resulting in a delay. Rasmus Højlund assisted Manuel Ugarte's close-range shot."
"Fourth official has announced 6 minutes of added time. Corner, Manchester United. Conceded by Jarrad Branthwaite. Attempt missed. Joshua Zirkzee (Manchester United) header from the centre of the box is high and wide to the right. Assisted by Bruno Fernandes with a cross following a corner. Patrick Dorgu (Manchester United) wins a free kick on the left wing. Foul by Jake O'Brien (Everton). Yellow card Corner, Everton. Conceded by Noussair Mazraoui. First Half ends, Everton 2, Manchester United 0. Second Half begins Everton 2, Manchester United 0. Corner, Everton. Conceded by Matthijs de Ligt. Attempt saved. Jarrad Branthwaite (Everton) header from the centre of the box is saved in the centre of the goal. Assisted by Jack Harrison with a cross. Corner, Manchester United. Conceded by Jarrad Branthwaite. Foul by Diogo Dalot (Manchester United). Vitalii Mykolenko (Everton) wins a free kick in the defensive half. Corner, Manchester United. Conceded by James Tarkowski. Corner, Everton. Conceded by Matthijs de Ligt. Substitution Patrick Dorgu (Manchester United) wins a free kick on the right wing. Foul by Vitalii Mykolenko (Everton). Attempt blocked. Jack Harrison (Everton) left footed shot from the centre of the box is blocked. Noussair Mazraoui (Manchester United) wins a free kick in the defensive half. Foul by Jack Harrison (Everton). Ashley Young (Everton) wins a free kick in the defensive half. Foul by Patrick Dorgu (Manchester United). Substitution Manuel Ugarte (Manchester United) wins a free kick in the defensive half. Foul by Beto (Everton). Manuel Ugarte (Manchester United) wins a free kick in the defensive half. Foul by James Garner (Everton). Yellow card Corner, Everton. Conceded by Matthijs de Ligt. Attempt saved. Abdoulaye Doucouré (Everton) right footed shot from the centre of the box is saved in the bottom right corner. Assisted by Jake O'Brien with a cross. Foul by Harry Maguire (Manchester United). Beto (Everton) wins a free kick in the defensive half. Alejandro Garnacho (Manchester United) wins a free kick in the attacking half. Foul by Idrissa Gueye (Everton).","The first half concluded with Everton leading Manchester United 2-0. Both sides traded corners, with Everton having several saved attempts. The second half saw continued corner kicks for both teams. Free kicks were awarded to both sides, with some fouls being committed."
"Substitution Substitution Attempt blocked. Bruno Fernandes (Manchester United) right footed shot from outside the box is blocked. Hand ball by Abdoulaye Doucouré (Everton). GOAL! Foul by Patrick Dorgu (Manchester United). Ashley Young (Everton) wins a free kick in the defensive half. Patrick Dorgu (Manchester United) wins a free kick in the attacking half. Foul by Abdoulaye Doucouré (Everton). Yellow card GOAL! Substitution Substitution Alejandro Garnacho (Manchester United) wins a free kick on the left wing. Foul by James Tarkowski (Everton). Corner, Manchester United. Conceded by Tim Iroegbunam. Attempt blocked. Joshua Zirkzee (Manchester United) header from the centre of the box is blocked. Assisted by Bruno Fernandes with a cross. Delay in match because of an injury Jarrad Branthwaite (Everton). Delay over. They are ready to continue. Attempt saved. Beto (Everton) header from the centre of the box is saved in the centre of the goal. Assisted by Ashley Young with a cross. Attempt blocked. Alejandro Garnacho (Manchester United) left footed shot from the centre of the box is blocked. Assisted by Diogo Dalot. Attempt saved. Bruno Fernandes (Manchester United) right footed shot from outside the box is saved in the top centre of the goal. Corner, Manchester United. Conceded by Jordan Pickford. Attempt blocked. Manuel Ugarte (Manchester United) right footed shot from outside the box is blocked. Foul by Joshua Zirkzee (Manchester United). Carlos Alcaraz (Everton) wins a free kick in the defensive half. Yellow card Fourth official has announced 5 minutes of added time. Corner, Everton. Conceded by Matthijs de Ligt. Attempt saved. Idrissa Gueye (Everton) right footed shot from outside the box is saved in the centre of the goal. Assisted by Jack Harrison. VAR decision Corner, Manchester United. Conceded by Jake O'Brien. Corner, Manchester United. Conceded by Vitalii Mykolenko. Yellow card Second Half ends, Everton 2, Manchester United 2.","Everton and Manchester United shared the spoils in a thrilling match, finishing 2-2. Two goals were scored, one for each side. There were multiple substitutions and a few stoppages for injuries. Bruno Fernandes' shot was blocked, as was Garnacho's attempt and Zirkzee's header. There were three yellow cards shown, and five minutes of added time were given."
"First Half begins. Foul by William Saliba (Arsenal). Mohammed Kudus (West Ham United) wins a free kick in the defensive half. Offside, West Ham United. Mohammed Kudus is caught offside. Aaron Cresswell (West Ham United) wins a free kick in the defensive half. Foul by Mikel Merino (Arsenal). Attempt blocked. Martin Ødegaard (Arsenal) left footed shot from outside the box is blocked. Assisted by Declan Rice with a headed pass. Attempt missed. Mikel Merino (Arsenal) left footed shot from the right side of the six yard box is close, but misses to the right. Assisted by Thomas Partey. Offside, Arsenal. Riccardo Calafiori is caught offside. Attempt missed. Tomás Soucek (West Ham United) header from the centre of the box is too high. Assisted by James Ward-Prowse with a cross. Offside, Arsenal. Mikel Merino is caught offside. Attempt saved. Riccardo Calafiori (Arsenal) left footed shot from outside the box is saved in the top centre of the goal. Assisted by Mikel Merino. Martin Ødegaard (Arsenal) wins a free kick in the attacking half. Foul by Edson Álvarez (West Ham United). Attempt blocked. Ethan Nwaneri (Arsenal) left footed shot from the right side of the box is blocked. Assisted by Declan Rice. Attempt missed. Leandro Trossard (Arsenal) right footed shot from the centre of the box is close, but misses to the right following a set piece situation.","The first half saw several offside calls for both Arsenal and West Ham United. Arsenal had a couple of shots blocked, and Riccardo Calafiori's attempt was saved. West Ham also missed a header. Despite the attempts, the score remained unchanged after forty-five minutes."
"Attempt missed. Jarrod Bowen (West Ham United) right footed shot from the centre of the box misses to the left. Assisted by Aaron Wan-Bissaka. Foul by Mohammed Kudus (West Ham United). Jurriën Timber (Arsenal) wins a free kick on the right wing. Foul by Gabriel Magalhães (Arsenal). Jarrod Bowen (West Ham United) wins a free kick in the defensive half. Foul by Mikel Merino (Arsenal). Jarrod Bowen (West Ham United) wins a free kick in the defensive half. Attempt missed. Tomás Soucek (West Ham United) header from the centre of the box is too high. Assisted by Mohammed Kudus with a cross following a set piece situation. Attempt blocked. Riccardo Calafiori (Arsenal) left footed shot from the centre of the box is blocked. Declan Rice (Arsenal) wins a free kick in the defensive half. Foul by Tomás Soucek (West Ham United). Corner, Arsenal. Conceded by Jean-Clair Todibo. Attempt blocked. Declan Rice (Arsenal) right footed shot from the left side of the box is blocked. Assisted by Riccardo Calafiori. Attempt blocked. Martin Ødegaard (Arsenal) left footed shot from outside the box is blocked. Assisted by Leandro Trossard. Foul by Jurriën Timber (Arsenal). Ollie Scarles (West Ham United) wins a free kick in the defensive half. Attempt missed. Martin Ødegaard (Arsenal) left footed shot from outside the box is high and wide to the left. Assisted by Jurriën Timber. Foul by Riccardo Calafiori (Arsenal). Aaron Wan-Bissaka (West Ham United) wins a free kick on the right wing. GOAL!","West Ham's Jarrod Bowen was heavily involved, winning multiple free kicks, while Tomás Soucek had a headed attempt go over. An Arsenal shot by Riccardo Calafiori was blocked, as were shots for Declan Rice and Martin Ødegaard. Ødegaard also missed a shot. A goal was scored, but the scorer is not mentioned."
"Fourth official has announced 2 minutes of added time. Martin Ødegaard (Arsenal) wins a free kick in the defensive half. Foul by James Ward-Prowse (West Ham United). Foul by Jurriën Timber (Arsenal). Mohammed Kudus (West Ham United) wins a free kick in the defensive half. First Half ends, Arsenal 0, West Ham United 1. Second Half begins Arsenal 0, West Ham United 1. Foul by Mikel Merino (Arsenal). Aaron Wan-Bissaka (West Ham United) wins a free kick in the defensive half. Foul by Ethan Nwaneri (Arsenal). Edson Álvarez (West Ham United) wins a free kick in the defensive half. William Saliba (Arsenal) wins a free kick in the defensive half. Foul by Edson Álvarez (West Ham United). Foul by William Saliba (Arsenal). Mohammed Kudus (West Ham United) wins a free kick in the defensive half. Attempt blocked. Leandro Trossard (Arsenal) right footed shot from the left side of the box is blocked. Assisted by Mikel Merino with a headed pass. Substitution Substitution Leandro Trossard (Arsenal) wins a free kick on the left wing. Foul by Aaron Wan-Bissaka (West Ham United). Attempt missed. Mikel Merino (Arsenal) header from the centre of the box misses to the right. Assisted by Leandro Trossard with a cross following a set piece situation. Yellow card Substitution Attempt blocked. Oleksandr Zinchenko (Arsenal) left footed shot from the centre of the box is blocked. Assisted by Leandro Trossard. Attempt blocked. Oleksandr Zinchenko (Arsenal) right footed shot from the centre of the box is blocked. Assisted by Martin Ødegaard. Attempt saved. Leandro Trossard (Arsenal) right footed shot from the left side of the box is saved in the bottom left corner. Assisted by Martin Ødegaard. Attempt missed. Leandro Trossard (Arsenal) right footed shot from the left side of the six yard box misses to the left. Assisted by Ethan Nwaneri with a cross. Myles Lewis-Skelly (Arsenal) wins a free kick in the defensive half. Foul by Mohammed Kudus (West Ham United). Foul by Leandro Trossard (Arsenal). Mohammed Kudus (West Ham United) wins a free kick on the right wing. Foul by Mikel Merino (Arsenal). Maximilian Kilman (West Ham United) wins a free kick in the defensive half. David Raya (Arsenal) wins a free kick in the defensive half. Foul by Mohammed Kudus (West Ham United).","West Ham leads Arsenal 1-0 at halftime. The second half has seen multiple fouls from both sides, with both teams consistently winning free kicks in their defensive halves. Arsenal has had several shots blocked, and Trossard has missed several chances to score."
"Jurriën Timber (Arsenal) wins a free kick in the defensive half. Foul by Edson Álvarez (West Ham United). Foul by Myles Lewis-Skelly (Arsenal). Mohammed Kudus (West Ham United) wins a free kick in the attacking half. VAR decision Red card Offside, West Ham United. Edson Álvarez is caught offside. Attempt saved. Aaron Wan-Bissaka (West Ham United) right footed shot from the right side of the box is saved in the bottom right corner. Assisted by Mohammed Kudus. Jurriën Timber (Arsenal) wins a free kick on the right wing. Foul by Ollie Scarles (West Ham United). Yellow card Leandro Trossard (Arsenal) wins a free kick on the left wing. Foul by Aaron Wan-Bissaka (West Ham United). Substitution Substitution Gabriel Magalhães (Arsenal) wins a free kick in the defensive half. Foul by Aaron Wan-Bissaka (West Ham United). Leandro Trossard (Arsenal) wins a free kick in the attacking half. Foul by Konstantinos Mavropanos (West Ham United). Attempt blocked. Raheem Sterling (Arsenal) right footed shot from outside the box is blocked. Attempt missed. Gabriel Magalhães (Arsenal) left footed shot from the right side of the box is close, but misses the top left corner. Assisted by Martin Ødegaard following a set piece situation. Foul by Thomas Partey (Arsenal). Mohammed Kudus (West Ham United) wins a free kick in the defensive half. Yellow card Substitution Substitution Attempt missed. Leandro Trossard (Arsenal) right footed shot from outside the box is too high. Assisted by Thomas Partey. Fourth official has announced 8 minutes of added time. Foul by Raheem Sterling (Arsenal). Carlos Soler (West Ham United) wins a free kick in the defensive half. Attempt blocked. Gabriel Magalhães (Arsenal) header from the centre of the box is blocked. Assisted by Raheem Sterling with a cross. Oleksandr Zinchenko (Arsenal) wins a free kick in the defensive half. Foul by Carlos Soler (West Ham United). Attempt missed. Ben White (Arsenal) right footed shot from the right side of the box is close, but misses to the left. Assisted by Martin Ødegaard. Foul by Mikel Merino (Arsenal). Tomás Soucek (West Ham United) wins a free kick in the defensive half. Hand ball by Mohammed Kudus (West Ham United). Corner, Arsenal. Conceded by Aaron Cresswell. Yellow card Second Half ends, Arsenal 0, West Ham United 1.","West Ham United had a goal disallowed by VAR which led to a red card. West Ham's Aaron Wan-Bissaka committed multiple fouls and was shown a yellow card. Several Arsenal players, including Leandro Trossard and Gabriel Magalhães, won free kicks. The second half ended with Arsenal trailing 0-1."
